Symbol,Trade,Date,Price,Ex. date,Ex. Price,% chg,Profit,% Profit,Shares,Position value,Cum. Profit,# bars,Profit/bar,MAE,MFE,Scale In/Out
CRM,Long,2020-10-07,257.39,2020-10-22,249.6683,-3.00%,-123.55,-3.00%,16,4118.24,3659.29,12,-10.30,-3.00%,4.96%,0/0
IRTC,Long,2020-10-07,242.03,2020-10-19,234.7691,-3.00%,-116.17,-3.00%,16,3872.48,-1005.36,9,-12.91,-3.09%,7.86%,0/0
SAM,Long,2020-10-07,910.35,2020-11-03,1046.02,14.90%,2170.72,14.90%,16,14565.60,10357.46,20,108.54,-1.66%,20.04%,0/0
GOGO,Long,2020-10-07,10.75,2020-10-08,10.4275,-3.00%,-5.16,-3.00%,16,172.00,-1762.42,2,-2.58,-7.44%,3.72%,0/0
ZM,Long,2020-10-08,488,2020-10-20,563.053,15.38%,1200.85,15.38%,16,7808.00,709.08,9,133.43,-2.55%,20.66%,0/0
FND,Long,2020-10-08,77.18,2020-10-21,81.6674,5.81%,71.80,5.81%,16,1234.88,3788.45,10,7.18,-0.75%,11.91%,0/0
KRNT,Long,2020-10-08,66.3,2020-10-19,69.0815,4.20%,44.50,4.20%,16,1060.80,-964.70,8,5.56,-2.90%,10.38%,0/0
EAT,Long,2020-10-08,45.65,2020-10-23,44.2805,-3.00%,-21.91,-3.00%,16,730.40,3670.32,12,-1.83,-3.33%,10.47%,0/0
DOMO,Long,2020-10-09,40.59,2020-10-16,39.3723,-3.00%,-19.48,-3.00%,16,649.44,-1569.85,6,-3.25,-4.16%,4.63%,0/0
DADA,Long,2020-10-09,28.35,2020-10-13,32.60392,15.01%,68.06,15.01%,16,453.60,-1737.32,3,22.69,-3.67%,21.09%,0/0
ZM,Long,2020-10-09,489.59,2020-10-20,563.053,15.01%,1175.41,15.01%,16,7833.44,1884.49,8,146.93,-1.13%,20.27%,0/0
BEKE,Long,2020-10-09,65.58,2020-10-12,63.6126,-3.00%,-31.48,-3.00%,16,1049.28,-1805.38,2,-15.74,-3.87%,0.47%,0/0
DLTH,Long,2020-10-09,13.72,2020-10-22,15.77869,15.01%,32.94,15.01%,16,219.52,3692.23,10,3.29,-3.06%,24.49%,0/0
SAM,Long,2020-10-09,926.13,2020-11-03,1046.02,12.95%,1918.24,12.95%,16,14818.08,12275.70,18,106.57,-2.82%,18.00%,0/0
SAM,Long,2020-10-12,929.75,2020-11-03,1046.02,12.51%,1860.32,12.51%,16,14876.00,14136.02,17,109.43,-3.20%,17.54%,0/0
CRWD,Long,2020-10-13,149.85,2020-10-15,145.3545,-3.00%,-71.93,-3.00%,16,2397.60,-1497.40,3,-23.98,-4.31%,2.70%,0/0
ZM,Long,2020-10-13,506.21,2020-10-20,563.053,11.23%,909.49,11.23%,16,8099.36,2793.98,6,151.58,-2.61%,16.32%,0/0
TENB,Long,2020-10-13,41.91,2020-10-15,40.17,-4.15%,-27.84,-4.15%,16,670.56,-1525.24,3,-9.28,-4.99%,1.15%,0/0
AEYE,Long,2020-10-15,17.85,2020-10-20,17.3145,-3.00%,-8.57,-3.00%,16,285.60,2785.41,4,-2.14,-7.00%,7.62%,0/0
ZM,Long,2020-10-15,520.1,2020-10-20,563.053,8.26%,687.25,8.26%,16,8321.60,3472.66,4,171.81,-2.61%,13.22%,0/0
PENN,Long,2020-10-16,70.04,2020-10-19,67.9388,-3.00%,-33.62,-3.00%,16,1120.64,-998.32,2,-16.81,-3.00%,3.17%,0/0
TCS,Long,2020-10-20,9.65,2020-10-21,10.28348,6.56%,10.14,6.56%,16,154.40,3798.59,2,5.07,-6.32%,16.17%,0/0
SNOW,Long,2020-10-21,252.6,2020-10-30,245.022,-3.00%,-121.25,-3.00%,16,4041.60,5595.68,8,-15.16,-3.16%,19.16%,0/0
VNET,Long,2020-10-21,25.09,2020-10-23,24.3373,-3.00%,-12.04,-3.00%,16,401.44,3658.28,3,-4.01,-3.11%,5.94%,0/0
PYPL,Long,2020-10-21,207.57,2020-10-26,201.3429,-3.00%,-99.63,-3.00%,16,3321.12,5917.44,4,-24.91,-3.33%,3.98%,0/0
PEGA,Long,2020-10-23,132.8,2020-10-26,128.816,-3.00%,-63.74,-3.00%,16,2124.80,5853.70,2,-31.87,-3.00%,1.20%,0/0
STTK,Long,2020-10-26,22.39,2020-11-09,26.56912,18.67%,66.87,18.67%,16,358.24,14234.87,11,6.08,-5.21%,32.25%,0/0
HRMY,Long,2020-10-27,41.22,2020-10-28,39.9834,-3.00%,-19.79,-3.00%,16,659.52,5794.76,2,-9.89,-3.06%,2.28%,0/0
NIO,Long,2020-10-29,28.56,2020-12-01,44.05,54.24%,247.84,54.24%,16,456.96,14740.73,23,10.78,-0.84%,100.28%,0/0
PDD,Long,2020-10-29,91.2,2020-11-10,104.7121,14.82%,216.19,14.82%,16,1459.20,14434.88,9,24.02,-2.75%,28.06%,0/0
RCM,Long,2020-11-02,18.18,2020-11-03,17.6346,-3.00%,-8.73,-3.00%,16,290.88,14127.30,2,-4.36,-3.03%,2.70%,0/0
